,Bilan mensuel CPU (en seconde),,,,,,,,,,
user,Janvier,Février,Mars,Avril,Juin,Juillet,Aout ,Septembre ,Octobre,Novembre,Décembre
adupaix,0,9910084,32599826,18554572,0,0,20254395,1175,1175,0,0
aduparc,0,0,0,0,0,0,0,0,0,0,0
amorell,0,0,106,0,0,0,0,0,0,0,0
aroy,0,0,0,0,0,0,0,0,0,0,0
cfelix,4,0,0,0,0,0,0,0,0,0,0
clujanpa,0,0,0,0,0,0,0,0,0,0,0
dkaplan,209592,0,1921826,1309019,5773011,0,0,11420,2008112,0,0
echassot,0,0,0,0,0,0,0,0,0,0,0
fbriton,0,0,0,0,0,0,0,0,0,0,0
fleloch,0,0,0,0,0,0,0,0,0,0,0
fmoullec,0,0,0,0,0,0,0,0,0,0,0
gperez,0,0,0,0,0,0,0,0,0,0,0
iperez,0,0,0,0,0,0,0,0,0,0,0
jbarde,0,0,0,0,0,0,0,0,0,0,0
jlebranc,0,0,0,0,0,0,0,0,0,0,0
jrault,8,0,0,1521896,931,26823453,53911537,0,0,8359,0
lescalle,0,0,0,0,0,0,0,0,0,0,0
mandrell,0,0,0,0,0,0,0,0,0,0,0
mcapello,0,0,0,0,0,0,0,0,0,0,0
mlengaig,162618279,427597539,670508721,510456040,262459369,256160649,477094246,773375053,237811868,405507706,404521809
msimier,0,0,0,0,0,0,0,0,0,0,0
msoria,0,0,0,0,0,0,0,0,0,0,0
nbarrier,436787393,650494005,651688632,1010773013,32081431,118290756,19128,30196,311360084,104188,287601338
nbez,0,0,0,0,0,0,0,0,0,0,0
omaury,32949581,436438212,482462004,845228724,30073224,226788331,530228585,775075640,403502592,521164182,223419649
rioliver,0,0,0,0,0,0,0,0,0,0,5074468
sakia,0,0,0,0,0,0,0,0,0,0,0
sdrira,0,0,0,0,0,0,0,0,0,0,0
vdaniell,205376515,401035693,623372507,567965320,57882437,163629902,488843035,726860404,399843334,557499026,606222875
vdupre,0,0,0,0,0,0,0,0,0,0,0
yjshin,0,0,0,0,0,0,0,0,0,0,0
yyhamemo,0,0,0,0,0,0,0,0,0,0,0
cdelord,0,0,0,0,0,0,0,0,0,0,0
fhoungna,0,0,0,0,0,0,0,0,0,0,0
ipitavac,0,0,0,0,0,0,0,0,0,0,0
ydsoviad,0,0,803,58109772,253120332,375603183,768756865,355989723,609647925,558675828,761614680
shopkins,0,0,0,0,0,0,0,0,0,0,0
jnaudet,33083,96,53352,0,0,3686006,2590264,924527,3322163,3232227,0
abrunel,0,0,0,0,0,0,0,0,0,0,0
timzilen,0,0,0,0,0,0,0,0,0,0,0
cabello,0,40268365,355959,381762,4599894,714629,30,72213,572445,83340890,375926
bcheikhm,0,111708186,0,0,0,0,0,0,0,0,0
mmetge,0,0,0,0,0,0,0,0,0,0,0
ldecubbe,61603297,71868745,3878740,855279,0,261792875,20288408,3227401,15657646,5095685,2311787
mbelhare,0,0,0,0,0,0,0,0,0,0,0
mdouille,0,0,0,0,0,0,0,0,0,0,459094517
ldalaut,1327913665,751977254,748354677,460305544,496838828,643004445,679712868,319141092,964958912,1192891290,1381098971
lbald,0,0,0,0,0,0,0,0,0,0,0
mbeneat,1267238,4802668,2274986,6048110,5739532,97043,1506656,3961031,2488008,293263,2922
aricouar,0,30684470,13207554,59985389,25211364,5389654,89759553,934144,0,0,0
smahevas,0,9225399,0,0,0,0,0,77753,9115,0,0
dcortese,76807,4342,69125,10523,15459,10,7432,9760,18096,0,0
llaumedr,0,0,0,0,0,0,0,0,8,0,0
trouyer,0,0,0,0,0,0,0,0,0,0,0
slapegue,16848,52305,0,0,0,0,0,0,0,0,0
cdutheil,0,0,428450,1611335,0,32,0,12540,7550136,459721,36929
rcanet,0,22602498,2906997,4069442,3054728,0,0,0,0,0,0
qschull,0,0,0,0,0,0,0,0,0,0,0
abeauvie,0,0,0,0,0,0,0,0,0,0,0
crestrep,0,55,223,0,0,0,0,0,0,0,0
bernande,0,0,0,0,0,0,0,0,0,0,0
agobet,10876,0,0,0,0,0,1930,0,29502,0,0
mvignero,0,0,0,0,0,0,0,0,0,0,0
cgonzale,0,0,0,0,0,0,0,0,0,0,0
sdijoux,0,0,0,0,0,0,0,0,0,0,0
scrochem,0,0,0,0,0,0,0,0,0,0,0
