,N
01-04,37.0
01-05,38.0
01-06,32.0
01-07,36.0
01-08,32.0
01-09,1.0
01-10,1.0
01-11,52.0
01-12,56.0
01-13,53.0
01-14,57.0
01-15,42.0
01-16,0.0
01-17,0.0
01-18,51.0
01-19,52.0
01-20,33.0
01-21,39.0
01-22,28.0
01-23,0.0
01-24,0.0
01-25,26.0
01-26,39.0
01-27,37.0
01-28,47.0
01-29,38.0
01-30,0.0
01-31,0.0
02-01,42.0
02-02,46.0
02-03,40.0
02-04,40.0
02-05,35.0
02-06,0.0
02-07,0.0
02-08,35.0
02-09,48.0
02-10,41.0
02-11,48.0
02-12,36.0
02-13,0.0
02-14,0.0
02-15,38.0
02-16,50.0
02-17,46.0
02-18,45.0
02-19,26.0
02-20,0.0
02-21,0.0
02-22,36.0
02-23,49.0
02-24,44.0
02-25,47.0
02-26,27.0
02-27,0.0
02-28,0.0
03-01,65.0
03-02,70.0
03-03,60.0
03-04,77.0
03-05,52.0
03-06,1.0
03-07,1.0
03-08,42.0
03-09,50.0
03-10,27.0
03-11,46.0
03-12,33.0
03-13,0.0
03-14,0.0
03-15,24.0
03-16,42.0
03-17,30.0
03-18,24.0
03-19,25.0
03-20,0.0
03-21,0.0
03-22,30.0
03-23,25.0
03-24,26.0
03-25,32.0
03-26,19.0
03-27,0.0
03-28,0.0
03-29,26.0
03-30,31.0
03-31,21.0
04-01,31.0
04-02,23.0
04-03,0.0
04-04,0.0
04-05,0.0
04-06,6.0
04-07,2.0
04-08,5.0
04-09,5.0
04-10,0.0
04-11,0.0
04-14,16.0
04-15,18.0
04-16,10.0
04-19,23.0
04-20,24.0
04-21,30.0
04-22,22.0
04-23,19.0
04-24,0.0
04-25,0.0
04-26,44.0
04-27,52.0
04-28,49.0
04-29,60.0
04-30,36.0
05-01,0.0
05-02,0.0
05-03,37.0
05-04,49.0
05-05,52.0
05-06,47.0
05-07,33.0
05-08,0.0
05-09,0.0
05-10,43.0
05-11,47.0
05-12,44.0
05-13,0.0
05-14,0.0
05-17,40.0
05-18,45.0
05-19,49.0
05-20,38.0
05-21,35.0
05-24,0.0
05-25,47.0
05-26,48.0
05-27,48.0
05-28,37.0
05-31,59.0
06-01,56.0
06-02,69.0
06-03,58.0
06-04,53.0
11-29,46.0
11-30,42.0
12-01,42.0
12-02,38.0
12-03,32.0
12-15,11.0
12-16,17.0
12-17,14.0
12-20,10.0
12-21,13.0
12-22,7.0
12-23,9.0
12-24,5.0
12-25,0.0
12-26,0.0
12-27,5.0
12-28,4.0
12-29,3.0
12-30,3.0
12-31,3.0
