Hostname,Target,Sample Date YMD,Sample Time HHMM,Count in seconds,Incoming traffic in bps (avg day),Outgoing traffic in bps (avg day),Peak inbound traffic in bps,Peak outbound traffic in bps
sites,GigabitEthernet1/0,11/23/2020,1:00,1606089600,55192,117222.6,601766.4,2346130.7
sites,GigabitEthernet1/0,11/24/2020,1:00,1606176000,5351484.2,1745443.2,46186475.3,21301345.1
sites,GigabitEthernet1/0,11/25/2020,1:00,1606262400,7087875.1,1063973.7,77554496.2,14717147.1
sites,GigabitEthernet1/0,11/26/2020,1:00,1606348800,5238180.8,2139920.4,72566815.4,32529461.6
sites,GigabitEthernet1/0,11/27/2020,1:00,1606435200,6030543.9,5191834.1,35059495.4,70644815.9
sites,GigabitEthernet1/0,11/28/2020,1:00,1606521600,6570295.3,1751558.6,34331796.6,9816187.6
sites,GigabitEthernet1/0,11/29/2020,1:00,1606608000,2411974,165846.7,2916197.9,4180638.5
sites,GigabitEthernet1/0,11/30/2020,1:00,1606694400,2421910,132328.4,3740660.9,1116713
sites,GigabitEthernet1/0,12/1/2020,1:00,1606780800,7929242.8,5249932.7,73237532.9,61834460
sites,GigabitEthernet1/0,12/2/2020,1:00,1606867200,2249303.6,501304.2,42292298.3,5018504.7
sites,GigabitEthernet1/0,12/3/2020,1:00,1606953600,6540372.9,21154647.2,35620386.3,81354042.5
sites,GigabitEthernet1/0,12/4/2020,1:00,1607040000,7467102.9,1707529.7,53205329.8,15183377.7
sites,GigabitEthernet1/0,12/5/2020,1:00,1607126400,6172590.5,1214692.2,60515609,9820842.5
sites,GigabitEthernet1/0,12/6/2020,1:00,1607212800,2525691.2,151141.1,4900285.9,1015027.8
sites,GigabitEthernet1/0,12/7/2020,1:00,1607299200,2100336.5,121410.8,4330261.6,4993272.7
sites,GigabitEthernet1/0,12/8/2020,1:00,1607385600,9091324.7,2855432.2,102520387.3,19798302.5
sites,GigabitEthernet1/0,12/9/2020,1:00,1607472000,7856070.4,3906382.3,56691962.3,40785902.4
sites,GigabitEthernet1/0,12/10/2020,1:00,1607558400,6504018.6,1704942.2,55685276.3,10994122.2
sites,GigabitEthernet1/0,12/11/2020,1:00,1607644800,7170737.4,2162537.4,50416015.9,16852019.9
sites,GigabitEthernet1/0,12/12/2020,1:00,1607731200,4274473.1,1258504.2,23815160.6,13231535
sites,GigabitEthernet1/0,12/13/2020,1:00,1607817600,183713.5,280292.5,2341864.7,1516927.5
sites,GigabitEthernet1/0,12/14/2020,1:00,1607904000,174613.9,53373.3,2269040.2,1519908.7
sites,GigabitEthernet1/0,12/15/2020,1:00,1607990400,5023580,1489301.8,71736450.3,16211980.4
sites,GigabitEthernet1/0,12/16/2020,1:00,1608076800,8717747.1,1903855,97173010.2,11847732.6
sites,GigabitEthernet1/0,12/17/2020,1:00,1608163200,5730485.3,28753426,74660065,98349692.2
sites,GigabitEthernet1/0,12/18/2020,1:00,1608249600,9446342.6,55096162.3,75131263.8,88309610.4
sites,GigabitEthernet1/0,12/19/2020,1:00,1608336000,6140743.7,61680350.1,41481120.9,79435311
sites,GigabitEthernet1/0,12/20/2020,1:00,1608422400,1184671.2,36119781.4,2874272.4,83756153
sites,GigabitEthernet1/0,12/21/2020,1:00,1608508800,216019.2,127190.3,1030314.6,5966992.6
sites,GigabitEthernet1/0,12/22/2020,1:00,1608595200,2152519.9,8450219.2,17439797.9,98151390.8
sites,GigabitEthernet1/0,12/23/2020,1:00,1608681600,4695453.2,6539724.5,85475973.5,15701148.6
sites,GigabitEthernet1/0,12/24/2020,1:00,1608768000,1439729.9,271533.8,9109621.2,7661319.7
sites,GigabitEthernet1/0,12/25/2020,1:00,1608854400,176759.4,63034.5,732792.3,1155335.5
