sid;submission_time;completion_time ;modification_time;non_mutualised_online_space;names;length_to
9090276;25/06/2021 16:35;25/06/2021 16:35;25/06/2021 16:35;nc;;
9091711;25/06/2021 18:51;25/06/2021 18:51;25/06/2021 18:51;nc;;
9990000;29/10/2021 14:18;29/10/2021 14:18;29/10/2021 14:18;oui;dropbox, uncloud;1
10065911;08/11/2021 12:03;08/11/2021 12:03;08/11/2021 12:03;oui;dropbox, uncloud;2
10397933;04/12/2021 02:43;04/12/2021 02:43;04/12/2021 02:43;oui;dropbox;0.5
10397935;04/12/2021 02:44;04/12/2021 02:44;04/12/2021 02:44;non;;
10397981;04/12/2021 05:49;04/12/2021 05:49;04/12/2021 05:49;oui;icloud;10
10397993;04/12/2021 06:11;04/12/2021 06:11;04/12/2021 06:11;non;;
10398044;04/12/2021 07:12;04/12/2021 07:12;04/12/2021 07:12;oui;dropbox;3
10398053;04/12/2021 07:16;04/12/2021 07:16;04/12/2021 07:16;oui;google_drive, icloud, mapsme;2
10398062;04/12/2021 07:20;04/12/2021 07:20;04/12/2021 07:20;oui;dropbox;0.4
10398203;04/12/2021 08:13;04/12/2021 08:13;04/12/2021 08:13;oui;owncloud;
10398459;04/12/2021 09:16;04/12/2021 09:16;04/12/2021 09:16;non;;
10398574;04/12/2021 09:35;04/12/2021 09:35;04/12/2021 09:35;oui;google_drive Univ Montpellier;1
10398595;04/12/2021 09:39;04/12/2021 09:39;04/12/2021 09:39;non;;
10398613;04/12/2021 09:41;04/12/2021 09:41;04/12/2021 09:41;non;;
10398661;04/12/2021 09:50;04/12/2021 09:50;04/12/2021 09:50;non;;
10398906;04/12/2021 10:26;04/12/2021 10:26;04/12/2021 10:26;non;;
10399197;04/12/2021 11:03;04/12/2021 11:03;04/12/2021 11:03;non;;
10399259;04/12/2021 11:11;04/12/2021 11:11;04/12/2021 11:11;non;;
10399404;04/12/2021 11:27;04/12/2021 11:27;04/12/2021 11:27;oui;dropbox, google_drive, icloud, owncloud;0.1
10399434;04/12/2021 11:31;04/12/2021 11:31;04/12/2021 11:31;oui;dropbox, uncloud;0.3
10399475;04/12/2021 11:36;04/12/2021 11:36;04/12/2021 11:36;non;;
10399582;04/12/2021 11:48;04/12/2021 11:48;04/12/2021 11:48;oui;google_drive;0.015
